id,speaker,content
1,俞墨涵,（伸手接屋檐滴落的雨水）完蛋...我妈刚洗的校服！（转头）张思朗你带伞了吗？
2,张思朗,（摇头，把文化祭节目单折成纸船）气象预报说...不会下雨的。
3,俞墨涵,（戳破纸船）那个破预报！（突然眼睛一亮）啊！值班室有备用伞！
4,张思朗,（看着瓢泼大雨）我去拿...（刚迈出一步就被拉住）
5,俞墨涵,（拽回他袖口）疯啦？会感冒的！（突然灵机一动）等等...（翻书包掏出超大素描本）这个！
6,张思朗,（按住她准备撕书的手）...那是你三个月的心血。（脱下外套）用这个挡吧。
7,俞墨涵,（被罩在外套下）哇啊...（闻到淡淡的洗衣粉味）等等！那你怎么办？
8,张思朗,（已经冲进雨里）我家近...（突然被追上来的身影惊到）俞墨涵？！
9,俞墨涵,（把外套撑在两人头顶）笨蛋！一起啊！（雨水顺着发梢滴落）
10,张思朗,（僵硬地接过一边衣角）...会淋湿的。
11,俞墨涵,（往他那边靠）那就靠近点嘛～（踩到水坑）哇！
12,张思朗,（下意识搂住她肩膀）...看路。
13,俞墨涵,（突然安静下来）...嗯。（悄悄把外套往他那边倾斜）
14,张思朗,（发现后默默调整回去）你文化祭...演得很好。
15,俞墨涵,（眼睛突然亮起来）你看到我扔出去的纸花了？（蹦跳时溅起水花）
16,张思朗,（被淋湿也不躲开）嗯...（轻声）第三排第二个座位。
17,俞墨涵,（突然站住）等等...（翻他书包）你果然偷拿了！（举着纸花残骸）
18,张思朗,（耳根通红）...是捡到的。
19,俞墨涵,（把湿漉漉的纸花别在他胸前）定情信物～（大笑着跑开）
20,张思朗,（呆立雨中）......（突然追上去）喂！外套还我！
